"orig","dest","distance"
"U00070","U44050",3.61181784881055
"U00070","U52546",3.73169512317483
"U00070","U90453",4.03369109244669
"U00070","U96434",4.12314874701755
"U00070","U62999",5.00353952720178
"U00070","U37262",5.13641351882907
"U00070","U32828",5.18416680865427
"U00070","U52814",5.19775283086885
"U00070","U12920",5.55421440137719
"U00070","U19424",5.70026707862309
"U00147","U73005",8.3974487736546
"U00147","U03186",9.0447932986867
"U00147","U64487",9.27941666870074
"U00147","U60845",9.36254076464422
"U00147","U87332",9.50486999652658
"U00147","U66368",9.57173018696095
"U00147","U20454",9.57504114410566
"U00147","U12550",9.61071627694356
"U00147","U89143",9.62673390507415
"U00147","U78466",9.62743421361881
"U00203","U38271",5.35084129842166
"U00203","U68252",5.37502607846011
"U00203","U99971",5.42684048854427
"U00203","U69393",5.54278995541397
"U00203","U93165",5.62905353479994
"U00203","U36746",5.66018126215618
"U00203","U64487",5.66777357495854
"U00203","U70230",5.83374659199463
"U00203","U53900",5.94598014682182
"U00203","U49226",6.04001181584391
"U00254","U21222",3.00696437582157
"U00254","U11059",3.51145690232356
"U00254","U76778",4.09320782239292
"U00254","U46593",4.10733253735496
"U00254","U51636",4.35214745382022
"U00254","U60524",4.4324468952628
"U00254","U92720",4.55447229666161
"U00254","U65471",4.83640027148111
"U00254","U93045",4.85679408328341
"U00254","U99355",4.8768257825098
"U00351","U67133",4.71027388384677
"U00351","U67607",5.14627325960241
"U00351","U73478",5.45954828868125
"U00351","U58673",5.51030436207142
"U00351","U95792",5.61396127022244
"U00351","U14062",5.62504601947072
"U00351","U29053",5.64152404720826
"U00351","U12949",5.65008607008562
"U00351","U50107",5.70304063622178
"U00351","U07789",5.72122539579086
"U00367","U62213",6.28941189275986
"U00367","U68970",6.45365506082087
"U00367","U67032",6.50528878390386
"U00367","U20320",6.50928393652985
"U00367","U88820",6.52306459108216
"U00367","U50197",6.52859699258787
"U00367","U26743",6.57767893603668
"U00367","U35513",6.72140156963252
"U00367","U32349",6.7586128188868
"U00367","U71897",6.94905566982437
"U00402","U88179",4.22562197481574
"U00402","U92125",4.38165178512531
"U00402","U52261",4.73863673824977
"U00402","U09187",5.02263129927907
"U00402","U49145",5.14674743983947
"U00402","U11103",5.27814225785505
"U00402","U58673",5.32174890544596
"U00402","U98548",5.3509472995069
"U00402","U27515",5.36745099946095
"U00402","U10827",5.37998899511764
"U00639","U25680",4.17649876093911
"U00639","U08085",5.78859534458737
"U00639","U31619",5.83320270441691
"U00639","U57955",5.88706227218298
"U00639","U09980",5.91464991040295
"U00639","U37412",6.28765368534071
"U00639","U52075",6.36217738285677
"U00639","U66218",6.36704305579144
"U00639","U12199",6.59420068279669
"U00639","U13990",6.65534119581252
"U00760","U89699",5.03904912969647
"U00760","U25255",5.22907975162536
"U00760","U67045",5.23687020164213
"U00760","U34230",5.37720448949342
"U00760","U09275",5.51226649598063
"U00760","U97695",5.61017018139522
"U00760","U16196",5.68956959024945
"U00760","U27932",5.75844471497627
"U00760","U79764",5.98423665825289
"U00760","U55397",5.98496002195247
"U01092","U13952",5.44474334215129
"U01092","U42807",7.06473434238779
"U01092","U42972",7.15258417288006
"U01092","U04748",7.22466848933141
"U01092","U52868",7.42049774074029
"U01092","U21465",7.5693787710384
"U01092","U60757",7.77292984630628
"U01092","U08235",7.89251276428777
"U01092","U90309",7.9653819974375
"U01092","U37037",7.96597380404567
"U01096","U50107",4.1412677148949
"U01096","U79723",4.47652111071585
"U01096","U71897",4.60885137738371
"U01096","U20639",4.69472144897745
"U01096","U92151",4.71899493197338
"U01096","U20165",4.73986378645755
"U01096","U59367",4.89872228067291
"U01096","U09531",4.90098336979881
"U01096","U82487",4.908250096579
"U01096","U67133",4.98739140033657
"U01198","U75079",5.04789084942787
"U01198","U87914",6.15436456967715
"U01198","U55399",6.41250050701413
"U01198","U55397",6.52140263942245
"U01198","U24247",6.69136604043687
"U01198","U67045",6.82445008744695
"U01198","U57009",6.93526167030309
"U01198","U81483",6.96480154090085
"U01198","U85348",7.04862237515402
"U01198","U25251",7.47256951701994
"U01367","U96099",3.97065378237446
"U01367","U88743",3.98343272248178
"U01367","U04862",4.0456231836767
"U01367","U70739",4.27932003922622
"U01367","U17969",4.39536104040629
"U01367","U94184",4.48713727393799
"U01367","U39739",4.50532697127366
"U01367","U06871",4.64428319561088
"U01367","U75375",4.65084245447614
"U01367","U78462",4.70913965040502
"U01577","U49728",3.03843671078647
"U01577","U60098",4.59841209296923
"U01577","U19348",4.63809079062271
"U01577","U31548",4.6904480701552
"U01577","U25735",4.7926665271593
