"orig","dest","distance"
"A81001","A81025",2.75803570238718
"A81001","A81046",4.03315210276646
"A81001","A81020",4.04710998586969
"A81001","A81060",4.15439948001778
"A81001","A81063",4.61577829367621
"A81001","A81051",4.82266932024936
"A81001","A81045",4.86322496942941
"A81001","A89018",5.08032095256748
"A81001","A81009",5.10985829877115
"A81001","P92007",5.14613329995773
"A81002","A81006",3.16896686029118
"A81002","A81036",3.37414995713994
"A81002","A81021",4.35747085891359
"A81002","A81044",4.455098935365
"A81002","A88003",4.56488947228324
"A81002","A81018",4.60250992772242
"A81002","A88002",4.70863089954352
"A81002","A85008",4.70896354213428
"A81002","N83020",4.76689230249598
"A81002","A87007",4.79333374259308
"A81004","A81051",3.56394321520673
"A81004","A81020",4.01217251689532
"A81004","A83034",4.21354453499259
"A81004","A86008",4.34419656061369
"A81004","P92010",4.57074153784079
"A81004","A83033",4.6371406483163
"A81004","P92003",4.71922576224642
"A81004","A81054",4.75489405089597
"A81004","A81057",4.75855478313978
"A81004","A81610",4.78572739584219
"A81005","A81032",3.60318964228129
"A81005","N81125",3.69217240193052
"A81005","N81060",4.00751310599531
"A81005","A81048",4.41164206632535
"A81005","A87011",4.43539456258488
"A81005","A84035",4.46412315932672
"A81005","N84012",4.48093290182251
"A81005","A83055",4.53844783774677
"A81005","A87005",4.54461235285173
"A81005","P81045",4.62203469906505
"A81006","A81002",3.16896686029118
"A81006","A81021",3.71827127064534
"A81006","A81046",3.90032048675275
"A81006","A81007",3.96706462252059
"A81006","A81031",4.04412864898531
"A81006","A89001",4.05922761631363
"A81006","A81036",4.14579258033607
"A81006","A81042",4.32119215912816
"A81006","C87029",4.33044056672622
"A81006","A88013",4.34369528590377
"A81007","A81011",2.76996735215031
"A81007","A81041",3.25532850486001
"A81007","A81031",3.476314404868
"A81007","A81060",3.66271417788356
"A81007","A89024",3.72147903592948
"A81007","A81018",3.77774315639008
"A81007","A81006",3.96706462252059
"A81007","A81045",3.97175172155984
"A81007","A88012",3.98016314746186
"A81007","A88022",4.00201303757978
"A81009","A81051",3.73835666293547
"A81009","A81020",3.76167592281075
"A81009","A89020",4.64658087231946
"A81009","P92026",4.71014407888329
"A81009","A86023",4.89922635601573
"A81009","A83641",4.94043387668593
"A81009","P92011",4.94973976040808
"A81009","P86005",4.96608091453046
"A81009","A81060",4.98069473274973
"A81009","A89006",4.98299670530585
"A81011","A81007",2.76996735215031
"A81011","A81041",3.28252135725126
"A81011","A81018",3.99878588513068
"A81011","A81031",4.0166708230315
"A81011","A81054",4.06864175808166
"A81011","A88004",4.23367714200764
"A81011","A89024",4.38217905922527
"A81011","A89001",4.39830649628737
"A81011","A81631",4.42511659636636
"A81011","A89041",4.51201776335285
"A81012","A81019",3.0566535596898
"A81012","A81049",3.30803363350751
"A81012","A81065",4.01638623916214
"A81012","A86040",4.38918367085272
"A81012","P86606",4.44426888881142
"A81012","A81038",4.54619489394196
"A81012","A81035",4.68282028171808
"A81012","M83102",4.77095494070136
"A81012","P87625",4.78842564964493
"A81012","P89013",4.89547773608874
"A81013","A81022",4.19690205127152
"A81013","A81053",4.33798554722691
"A81013","A83003",4.87794740712133
"A81013","A81054",4.89637050914361
"A81013","A81045",4.92418381812425
"A81013","A83033",4.92908713214494
"A81013","A89021",4.98180740981191
"A81013","A86038",4.98284814645827
"A81013","A83015",4.98951948790773
"A81013","A83006",5.01628391222655
"A81014","A81612",3.67684077303468
"A81014","A81056",4.11000269931963
"A81014","A81602",4.40497884682344
"A81014","A81040",4.50696566315922
"A81014","C85006",4.52193467881386
"A81014","A84619",4.77320740747895
"A81014","C88648",4.77338401821348
"A81014","C86611",4.80972010449768
"A81014","A89022",4.88772598291116
"A81014","A81057",4.89462689341701
"A81016","A81037",3.94756413073814
"A81016","A81023",4.03687507339594
"A81016","C87622",4.51435697580659
"A81016","A81035",4.7655293247814
"A81016","A81029",4.81301585178349
"A81016","A86012",4.8224103119515
"A81016","A81064",4.89196420301385
"A81016","A86004",5.09803046615664
"A81016","M83076",5.31669336506322
"A81016","A86024",5.42052438044292
"A81017","A81034",4.3583506106136
"A81017","A86008",4.88151787794932
"A81017","A81039",4.91414007716595
"A81017","A83050",4.95643343060929
"A81017","A83030",5.00609940513706
"A81017","A89009",5.07023845340082
"A81017","A81610",5.08905374529472
"A81017","A89012",5.2090651182913
"A81017","C86011",5.35807164977564
"A81017","M81082",5.3988896076124
"A81018","A81054",2.41825772345821
"A81018","A81052",3.28000843067935
"A81018","A81045",3.29716327757733
"A81018","A81007",3.77774315639008
"A81018","A81011",3.99878588513068
"A81018","A89021",4.11377893999749
"A81018","A81057",4.34679332651945
"A81018","A81006",4.37466531872447
"A81018","A86038",4.39578924194319
"A81018","A83033",4.40296476241742
"A81019","A81012",3.0566535596898
"A81019","A81065",3.45820126745319
"A81019","A81049",3.9472436076272
"A81019","A81035",4.55474497770669
"A81019","A86030",4.98776982127134
"A81019","A81038",5.06334517405057
